Plate,Position,2percent,5percent,10percent,20percent,40percent,60percent,80percent,100percent
left,4,13,18,88,202,370,532,668,852
left,5,14,21,97,217,396,562,752,926
left,6,16,23,95,213,384,566,721,909
left,7,14,21,100,216,402,583,738,951
left,8,15,24,103,252,427,604,814,990
left,9,17,23,99,234,409,589,772,948
left,10,14,20,96,201,372,522,703,878
left,11,15,21,97,213,385,566,700,872
left,12,14,20,90,205,354,526,680,820
right,4,15,22,86,204,361,545,711,861
right,5,13,20,91,210,370,538,701,893
right,6,14,18,86,191,332,506,692,822
right,7,16,24,97,231,414,596,738,936
right,8,15,24,106,230,429,628,771,1018
right,9,15,23,97,222,375,570,849,957
right,10,13,21,96,208,358,541,704,860
right,11,14,22,95,219,396,589,762,935
right,12,14,21,94,203,361,512,712,814
,,15,21,95,215,383,560,733,902