Run,Light_Level,Light_Value,Date,Start.time,Stop.time,pause,
Run3,17_560,0,20241101,11:45,12:00,NA,
Run3,17_0,1,20241101,12:02,12:17,0:01,
Run3,ramp0,2,20241101,12:18,12:34,NA,
Run3,21_560,3,20241101,12:35,12:50,NA,
Run3,21_0,4,20241101,12:55,13:10,0:01,
Run3,ramp1,5,20241101,13:11,13:27,NA,
Run3,24_560,6,20241101,13:28,13:51,NA,
Run3,24_0,7,20241101,13:53,14:08,0:01,
Run3,ramp2,8,20241101,14:09,14:19,NA,
Run3,28_560,9,20241101,14:20,14:36,NA,
Run3,28_0,10,20241101,14:38,14:54,0:01,
Run3,ramp3,11,20241101,14:55,15:09,NA,
Run3,30_560,12,20241101,15:10,15:25,NA,
Run3,30_0,13,20241101,15:29,15:46,0:01,
Run3,ramp4,14,20241101,15:47,15:59,NA,
Run3,32_560,15,20241101,16:00,16:15,NA,
Run3,32_0,16,20241101,16:17,16:33,0:01,
Run3,ramp5,17,20241101,16:34,17:14,NA,
Run3,35_560,18,20241101,17:15,17:30,NA,
Run3,35_0,19,20241101,17:32,17:53,0:01,
Run3,ramp6,20,20241101,17:54,18:14,NA,
Run3,38_560,21,20241101,18:15,18:30,NA,
Run3,38_0,22,20241101,18:32,18:49,0:01,
Run3,ramp7,23,20241101,18:50,19:19,NA,
Run3,40_560,24,20241101,19:20,19:39,NA,
Run3,40_0,25,20241101,19:40,19:55,0:01,
Run4,17_560,0,20241102,9:05,9:20,NA,
Run4,17_0,1,20241102,9:22,9:37,0:01,
Run4,ramp0,2,20241102,9:38,9:59,NA,
Run4,21_560,3,20241102,10:00,10:15,NA,
Run4,21_0,4,20241102,10:17,10:35,0:01,
Run4,ramp1,5,20241102,10:36,10:49,NA,
Run4,24_560,6,20241102,10:50,11:05,NA,
Run4,24_0,7,20241102,11:07,11:25,0:01,
Run4,ramp2,8,20241102,11:26,11:39,NA,
Run4,28_560,9,20241102,11:40,11:55,NA,
Run4,28_0,10,20241102,11:57,12:13,0:01,
Run4,ramp3,11,20241102,12:14,12:21,NA,
Run4,30_560,12,20241102,12:22,12:38,NA,
Run4,30_0,13,20241102,12:40,12:55,0:01,
Run4,ramp4,14,20241102,12:56,13:09,NA,
Run4,32_560,15,20241102,13:10,13:25,NA,
Run4,32_0,16,20241102,13:30,13:45,0:01,
Run4,ramp5,17,20241102,13:46,14:14,NA,
Run4,35_560,18,20241102,14:15,14:30,NA,
Run4,35_0,19,20241102,14:32,14:49,0:01,
Run4,ramp6,20,20241102,14:50,15:07,NA,
Run4,38_560,21,20241102,15:08,15:24,NA,
Run4,38_0,22,20241102,15:26,15:42,0:01,
Run4,ramp7,23,20241102,15:43,15:56,NA,
Run4,40_560,24,20241102,15:57,16:13,NA,
Run4,40_0,25,20241102,16:15,16:31,0:01,
Run5,17_560,0,20241103,11:55,12:10,NA,
Run5,17_0,1,20241103,12:15,12:30,0:01,
Run5,ramp0,2,20241103,12:31,14:41,NA,
Run5,21_560,3,20241103,14:42,12:57,NA,
Run5,21_0,4,20241103,12:59,13:14,0:01,
Run5,ramp1,5,20241103,13:15,13:24,NA,
Run5,24_560,6,20241103,13:25,13:40,NA,
Run5,24_0,7,20241103,13:42,13:58,0:01,
Run5,ramp2,8,20241103,13:59,14:07,NA,
Run5,28_560,9,20241103,14:08,14:24,NA,
Run5,28_0,10,20241103,14:26,14:41,0:01,
Run5,ramp3,11,20241103,14:42,14:54,NA,
Run5,30_560,12,20241103,14:55,15:10,NA,
Run5,30_0,13,20241103,15:12,15:30,0:01,
Run5,ramp4,14,20241103,15:31,15:39,NA,
Run5,32_560,15,20241103,15:40,16:00,NA,
Run5,32_0,16,20241103,16:02,16:17,0:01,
Run5,ramp5,17,20241103,16:18,16:29,NA,
Run5,35_560,18,20241103,16:30,16:45,NA,
Run5,35_0,19,20241103,16:47,17:04,0:01,
Run5,ramp6,20,20241103,17:05,17:21,NA,
Run5,38_560,21,20241103,17:22,17:37,NA,
Run5,38_0,22,20241103,17:40,17:55,0:01,
Run5,ramp7,23,20241103,17:56,18:07,NA,
Run5,40_560,24,20241103,18:08,18:23,NA,
Run5,40_0,25,20241103,18:25,18:41,0:01,