Date,Time,Incubator,Temperature,Light
20231212,9:08,Ambient,27.91,NA
20231212,9:08,High,31.55,NA
20231212,10:06,Ambient,28.32,NA
20231212,10:06,High,30.76,NA
20231212,10:32,Ambient,28.81,NA
20231212,10:32,High,31.6,NA
20231212,10:58,Ambient,28.26,NA
20231212,10:58,High,31.6,NA
20231212,11:07,Ambient,28.41,NA
20231212,11:07,High,31.47,NA
20231212,11:29,Ambient,28.65,NA
20231212,11:29,High,31.55,NA
20231212,12:03,Ambient,27.51,NA
20231212,12:03,High,31.47,NA
20231212,12:45,Ambient,28.38,NA
20231212,12:45,High,31.43,NA
20231212,13:28,Ambient,28.92,NA
20231212,13:28,High,31.45,NA
20231212,14:39,Ambient,28.14,204
20231212,14:39,High,31.56,200
20231212,15:02,Ambient,27.9,NA
20231212,15:02,High,31.32,NA
20231212,17:01,Ambient,27.9,NA
20231212,17:01,High,31.66,NA
20231212,17:51,Ambient,27.84,NA
20231212,17:51,High,31.29,NA
20231212,18:04,Ambient,27.43,NA
20231212,18:04,High,30.87,NA
20231213,9:01,Ambient,27.34,NA
20231213,9:01,High,31.13,NA
20231213,10:11,Ambient,27.28,NA
20231213,10:11,High,31.17,NA
20231213,10:21,Ambient,27.47,NA
20231213,10:21,High,31.07,NA
20231213,11:05,Ambient,27.55,NA
20231213,11:05,High,30.58,NA
20231213,14:31,Ambient,27.35,NA
20231213,14:31,High,31.11,NA
20231213,14:59,Ambient,27.49,NA
20231213,14:59,High,31.14,NA
20231213,15:09,Ambient,28.33,NA
20231213,15:09,High,30.83,NA
20231213,15:20,Ambient,28.43,NA
20231213,15:20,High,30.92,NA
20231213,18:05,Ambient,28.53,NA
20231213,18:05,High,30.67,NA