Date,Sample.ID,Chamber.ID,SDR,Temperature,Type,Salinity,Plate,Run,Volume,Org.Number,Notes
20231114,1,A1,641,28,Sample,36,2,1,0.00008,60,
20231114,7,B1,641,28,Blank,36,2,1,0.00008,0,
20231114,13,C1,641,28,Sample,36,2,1,0.00008,60,
20231114,19,D1,641,28,Blank,36,2,1,0.00008,0,
20231114,2,A2,641,28,Sample,36,2,1,0.00008,60,
20231114,8,B2,641,28,Sample,36,2,1,0.00008,60,
20231114,14,C2,641,28,Blank,36,2,1,0.00008,0,
20231114,20,D2,641,28,Blank,36,2,1,0.00008,0,
20231114,3,A3,641,28,Blank,36,2,1,0.00008,0,
20231114,9,B3,641,28,Sample,36,2,1,0.00008,60,
20231114,15,C3,641,28,Sample,36,2,1,0.00008,60,
20231114,21,D3,641,28,Blank,36,2,1,0.00008,0,
20231114,4,A4,641,28,Sample,36,2,1,0.00008,60,
20231114,10,B4,641,28,Sample,36,2,1,0.00008,60,
20231114,16,C4,641,28,Blank,36,2,1,0.00008,0,
20231114,22,D4,641,28,Blank,36,2,1,0.00008,0,
20231114,5,A5,641,28,Blank,36,2,1,0.00008,0,
20231114,11,B5,641,28,Blank,36,2,1,0.00008,0,
20231114,17,C5,641,28,Blank,36,2,1,0.00008,0,
20231114,23,D5,641,28,Blank,36,2,1,0.00008,0,
20231114,6,A6,641,28,Sample,36,2,1,0.00008,60,
20231114,12,B6,641,28,Sample,36,2,1,0.00008,60,
20231114,18,C6,641,28,Blank,36,2,1,0.00008,0,
20231114,24,D6,641,28,Blank,36,2,1,0.00008,0,