Measurement Name :,Meas_20231119-641,,Generated On :,"19/11/2023, 18:54:32",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000641      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 045
Ref LED current   : 095
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"19/11/2023, 18:01:33",,,,,,Batch No.:  ,PSt5-1624-01_25°C,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"19/11/2023, 18:53:17",,,,,,O2_cal0 [°],54.76,,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.47,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-641,,,,,,O2_T0 [°C],24.8,,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],24.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],965,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
19.11.23 18:01:36,0.05,204.48,221.46,219.01,218.7,210.49,229.5,222.69,229.5,225.16,200.6,220.23,221.77,205.08,204.78,193.5,233.24,208.38,209.59,218.39,205.68,228.56,212.91,225.46,227.94,,28,965,36,27.4,
19.11.23 18:01:51,0.3,221.46,228.87,213.52,210.79,217.78,231.36,236.69,245.88,228.87,195.27,224.85,232.93,221.46,210.79,208.98,235.43,201.5,219.31,230.74,218.7,230.12,232.93,230.12,232.93,,28,965,36,27.33,
19.11.23 18:02:06,0.55,204.48,219.92,225.77,224.54,212.61,234.18,239.84,243.33,229.5,214.43,229.5,223.3,208.98,203.58,233.55,221.46,207.78,223.3,219.92,222.07,232.93,228.25,232.3,229.81,,28,965,36,27.29,
19.11.23 18:02:21,0.8,222.38,221.46,214.73,222.07,222.69,243.33,231.68,255.19,229.18,205.08,233.55,232.3,215.95,200.3,220.23,239.84,210.19,227.63,221.46,212.91,235.12,241.11,236.37,240.79,,28,965,36,27.29,
19.11.23 18:02:36,1.05,223.92,229.5,225.46,237.63,227.01,238.26,232.93,241.42,227.94,208.68,242.06,235.43,232.61,215.95,223.92,227.63,216.87,221.77,233.86,217.48,231.68,226.08,243.01,235.43,,28,965,36,27.29,
19.11.23 18:02:51,1.3,220.23,215.04,224.54,229.81,224.23,239.53,250.68,250.68,228.56,197.34,226.39,238.89,227.63,199.71,212.31,231.36,227.63,229.18,234.49,224.54,236.69,228.25,239.53,247.79,,28,965,36,27.29,
19.11.23 18:03:06,1.55,223.92,222.07,227.63,218.09,222.69,239.21,233.86,246.19,225.77,214.43,223.3,232.93,225.16,205.98,215.04,226.39,205.68,224.85,222.69,215.04,223.61,229.5,235.43,231.68,,28,965,36,27.29,
19.11.23 18:03:21,1.8,220.54,221.46,219.62,212.31,222.69,235.12,231.99,239.53,232.61,198.82,219.01,227.32,227.01,213.22,205.38,243.01,215.95,221.46,226.08,214.43,229.5,228.87,236.37,240.16,,28,965,36,27.3,
19.11.23 18:03:36,2.05,212,222.69,218.39,207.48,218.39,245.24,236.06,247.47,231.68,210.79,226.08,237.95,224.23,205.68,233.86,234.18,220.84,228.87,220.54,217.17,231.36,221.46,231.68,241.42,,28,965,36,27.33,
19.11.23 18:03:51,2.3,221.77,227.32,215.95,212.31,224.54,236.06,227.94,245.88,224.23,208.98,209.89,241.42,228.25,209.89,199.71,234.8,222.07,223,234.18,220.23,234.8,230.43,239.53,241.11,,28,965,36,27.35,
19.11.23 18:04:06,2.55,230.12,248.11,227.01,230.12,233.24,247.79,253.9,250.68,239.21,219.62,248.11,231.68,237,210.19,220.84,244.6,220.84,240.47,237.63,235.43,247.47,236.69,248.11,259.09,,28,965,36,27.36,
19.11.23 18:04:21,2.8,224.85,225.46,219.31,228.56,220.54,242.06,229.5,245.24,229.18,196.16,219.62,231.05,218.39,189.11,223,240.47,226.7,224.54,228.87,212.91,231.68,232.3,237.95,237.63,,28,965,36,27.38,
19.11.23 18:04:36,3.05,239.84,228.87,212,212.61,228.25,237.95,238.89,242.06,224.54,205.98,231.05,233.24,227.63,212.91,204.78,236.06,222.69,223.3,232.93,222.69,243.01,238.58,242.38,244.6,,28,965,36,27.4,
19.11.23 18:04:51,3.3,214.43,225.16,226.7,248.43,231.99,249.39,244.28,256.16,236.06,201.79,210.19,240.79,224.23,220.54,223.3,237.32,230.12,234.49,238.26,221.77,243.96,233.24,246.51,247.47,,28,965,36,27.4,
19.11.23 18:05:06,3.55,247.79,248.75,228.25,238.89,235.75,248.43,261.37,253.58,232.3,212.31,235.43,250.04,235.12,215.65,216.56,242.69,226.39,226.7,237.32,231.99,233.86,227.63,247.79,260.39,,28,965,36,27.43,
19.11.23 18:05:21,3.8,214.43,223.61,237.32,231.99,227.32,248.43,243.96,248.43,232.93,204.78,223.3,248.11,231.36,238.89,209.59,233.55,208.68,221.15,224.85,215.34,240.47,236.69,234.8,240.16,,28,965,36,27.44,
19.11.23 18:05:36,4.05,208.08,208.38,208.08,225.16,217.17,232.93,232.61,244.6,224.85,208.08,229.18,236.37,214.43,212,203.58,230.74,208.68,230.12,225.77,210.79,231.68,224.85,223.92,238.89,,28,965,36,27.46,
19.11.23 18:05:51,4.3,231.68,248.75,211.7,228.87,226.7,245.88,246.83,255.84,226.39,212.31,229.5,239.21,240.16,213.22,209.89,243.33,229.18,229.81,242.06,225.77,239.53,238.26,234.8,243.65,,28,965,36,27.47,
19.11.23 18:06:06,4.55,234.49,228.87,226.7,237.95,221.15,234.8,241.42,254.22,225.77,220.84,241.74,233.55,222.69,212.91,210.19,225.77,219.62,217.48,223.61,220.23,237.32,238.26,235.75,244.92,,28,965,36,27.5,
19.11.23 18:06:22,4.82,212,228.56,237,247.47,235.12,249.07,246.83,250.68,239.53,244.28,222.07,239.53,228.87,213.82,240.47,243.33,234.49,225.77,247.15,222.38,237.95,237.32,246.19,248.43,,28,965,36,27.51,
19.11.23 18:06:37,5.07,218.39,238.58,196.75,235.75,226.39,238.26,251,247.47,229.5,209.59,219.92,241.74,226.39,218.09,237.63,234.18,221.46,222.07,235.43,227.01,231.99,235.12,245.88,253.25,,28,965,36,27.51,
19.11.23 18:06:52,5.32,227.94,223.3,223.3,200.3,229.81,249.07,246.19,252.93,234.18,228.25,226.08,255.52,235.12,226.7,238.58,246.83,229.81,218.7,241.42,232.3,243.96,236.06,253.9,256.81,,28,965,36,27.54,
19.11.23 18:07:07,5.57,232.61,247.79,224.85,235.75,232.3,243.96,251.32,253.58,227.94,202.09,231.05,237.32,229.18,223.3,220.54,245.88,222.38,223.61,248.11,229.5,237.63,228.87,249.71,249.71,,28,965,36,27.54,
19.11.23 18:07:22,5.82,217.17,214.73,216.56,235.43,223.92,246.83,249.71,243.96,226.39,211.4,226.7,223.61,222.07,203.58,216.87,234.18,213.22,219.92,235.75,219.31,232.61,234.18,241.11,238.26,,28,965,36,27.55,
19.11.23 18:07:37,6.07,228.56,236.69,207.78,211.7,219.31,234.18,235.75,243.65,225.46,223.61,222.07,231.05,222.38,204.48,206.88,230.12,206.28,214.43,224.23,218.09,219.62,231.36,236.69,240.16,,28,965,36,27.57,
19.11.23 18:07:52,6.32,224.85,226.7,239.21,225.46,224.23,245.24,248.11,248.75,230.12,226.7,243.33,233.86,237.32,222.07,225.46,234.8,218.7,225.16,225.77,221.77,237.63,234.8,237.95,246.51,,28,965,36,27.58,
19.11.23 18:08:07,6.57,225.46,225.77,220.54,219.62,231.99,248.43,237,245.24,231.05,194.39,221.46,238.58,229.5,221.15,207.78,246.83,224.85,215.04,226.39,218.09,223.92,233.24,239.21,243.01,,28,965,36,27.6,
19.11.23 18:08:22,6.82,226.08,221.46,213.82,251.96,229.81,249.39,247.15,251.32,233.24,182.71,244.28,236.06,237.32,229.81,210.79,241.11,218.09,231.99,232.61,232.3,242.06,239.53,244.6,244.6,,28,965,36,27.6,
19.11.23 18:08:37,7.07,208.98,233.55,230.12,243.33,223.61,239.53,234.49,246.51,227.32,206.28,236.69,237.95,237,197.34,219.31,239.53,215.04,228.56,241.11,224.23,236.69,235.75,242.06,252.29,,28,965,36,27.61,
19.11.23 18:08:52,7.32,218.39,233.24,219.62,246.51,228.56,251,237.32,251.32,223,202.99,225.77,239.84,239.53,212.31,237,242.69,224.85,224.23,232.93,220.54,238.26,227.63,245.56,243.65,,28,965,36,27.64,
19.11.23 18:09:07,7.57,219.01,245.24,227.94,241.42,224.85,246.83,254.22,248.11,235.12,212.31,219.31,235.43,245.24,221.77,217.78,246.51,230.74,239.53,230.74,228.56,234.18,236.06,241.74,250.36,,28,965,36,27.65,
19.11.23 18:09:22,7.82,245.24,244.92,231.68,246.83,237,249.39,251,245.56,237,230.74,238.58,237.63,233.24,202.69,227.01,245.56,218.7,232.3,249.07,228.56,243.65,242.69,242.69,258.44,,28,965,36,27.65,
19.11.23 18:09:37,8.07,249.07,241.11,231.36,240.79,245.56,255.19,256.16,258.44,238.89,215.65,245.88,251.64,252.29,218.09,239.21,250.36,240.47,239.21,246.83,230.12,239.53,245.88,244.6,250.36,,28,965,36,27.68,
19.11.23 18:09:52,8.32,239.21,241.74,242.06,233.86,233.24,258.44,257.14,257.14,239.21,206.28,246.51,242.38,219.31,226.7,224.54,244.92,221.77,236.06,237.95,227.63,228.56,239.53,255.19,256.81,,28,965,36,27.68,
19.11.23 18:10:07,8.57,223.61,234.8,225.16,222.38,230.43,238.26,239.21,243.01,232.3,223.92,222.69,235.43,223,220.54,224.23,241.74,223,230.74,237,220.84,225.16,236.69,244.92,251.32,,28,965,36,27.68,
19.11.23 18:10:22,8.82,222.69,223.61,220.54,226.39,231.36,243.33,252.93,251,230.43,220.23,242.69,232.3,232.93,231.68,233.86,240.47,223,228.56,238.58,228.25,232.3,245.24,242.38,252.29,,28,965,36,27.69,
19.11.23 18:10:38,9.08,213.22,241.42,220.84,222.07,229.18,237,238.58,244.92,224.54,212.31,231.05,239.21,224.23,212.61,226.08,238.89,227.01,232.61,232.61,225.46,231.36,235.12,243.65,244.28,,28,965,36,27.69,
19.11.23 18:10:53,9.33,221.46,225.77,216.87,219.92,232.3,245.56,243.33,247.79,223.61,214.13,213.82,230.74,226.39,222.38,241.42,238.26,227.01,229.81,227.63,216.56,217.78,244.6,240.79,244.92,,28,965,36,27.69,
19.11.23 18:11:08,9.58,205.98,244.92,232.93,231.05,235.12,237,234.18,249.07,236.06,208.68,220.54,233.24,229.5,213.82,220.23,237,225.46,212.61,224.85,216.87,236.37,237,228.25,246.83,,28,965,36,27.72,
19.11.23 18:11:23,9.83,222.69,228.56,220.84,225.16,226.08,249.07,251.96,245.24,236.37,233.55,239.21,238.26,234.49,195.27,247.15,238.26,231.05,221.46,231.05,220.23,241.11,236.06,238.58,252.93,,28,965,36,27.74,
19.11.23 18:11:38,10.08,232.93,225.77,233.24,234.18,237.95,245.88,239.53,250.04,240.47,222.38,245.56,248.43,229.5,229.81,225.77,253.25,218.39,230.12,241.74,235.75,233.55,233.55,250.36,248.75,,28,965,36,27.74,
19.11.23 18:11:53,10.33,223.3,244.28,237.32,236.06,242.38,246.51,248.75,251.32,230.12,233.55,244.92,242.69,236.69,218.09,252.29,243.65,230.12,211.4,246.83,225.16,240.16,240.16,249.71,263.99,,28,965,36,27.75,
19.11.23 18:12:08,10.58,231.68,234.18,240.47,248.75,238.58,252.29,248.11,253.9,232.61,191.74,231.05,234.18,237.32,238.26,239.84,245.56,232.3,228.56,250.04,225.16,236.06,243.33,244.92,253.9,,28,965,36,27.75,
19.11.23 18:12:23,10.83,205.08,246.51,222.07,221.46,234.8,245.56,239.84,251.32,241.11,234.8,223,242.38,230.12,204.78,219.31,254.22,231.99,236.06,239.53,230.12,230.74,242.06,244.6,256.81,,28,965,36,27.76,
19.11.23 18:12:38,11.08,227.01,227.94,219.92,216.56,229.81,247.47,244.28,251.96,228.56,222.07,221.46,234.49,227.32,201.2,219.62,247.47,227.94,226.08,227.63,222.38,229.5,238.26,242.06,254.22,,28,965,36,27.78,
19.11.23 18:12:53,11.33,214.73,242.38,225.77,224.85,229.81,247.79,247.47,253.9,224.85,221.46,227.01,234.49,231.05,199.71,243.33,237,221.15,223.92,241.11,218.7,231.36,233.55,236.69,254.87,,28,965,36,27.78,
19.11.23 18:13:08,11.58,225.16,242.38,215.34,244.92,232.61,243.65,246.19,252.61,231.99,218.39,231.68,240.16,224.85,220.23,223.3,237,226.08,224.85,244.28,216.87,229.18,238.89,240.47,253.9,,28,965,36,27.79,
19.11.23 18:13:23,11.83,228.87,236.37,225.46,231.68,240.16,245.24,240.47,243.65,227.01,234.49,237.32,226.08,225.16,215.65,225.46,240.47,232.93,227.63,238.89,223.3,228.25,238.58,230.43,254.22,,28,965,36,27.79,
19.11.23 18:13:38,12.08,218.09,217.48,236.37,217.17,228.87,239.84,249.71,250.68,227.63,230.74,223,232.61,232.61,227.94,200.6,238.26,218.39,232.61,231.36,231.99,228.56,238.89,239.53,250.68,,28,965,36,27.82,
19.11.23 18:13:53,12.33,230.43,237.32,232.3,238.58,242.69,256.81,254.22,254.87,240.47,211.7,236.06,239.84,234.18,226.39,248.75,232.3,221.77,234.8,238.26,232.93,236.69,244.28,242.06,258.11,,28,965,36,27.82,
19.11.23 18:14:08,12.58,232.93,221.77,228.87,234.18,238.89,258.76,255.84,255.84,243.01,238.26,233.24,238.58,224.23,238.26,227.63,260.06,237.95,237.32,234.8,231.99,241.11,246.51,251,261.7,,28,965,36,27.82,
19.11.23 18:14:23,12.83,213.52,228.56,232.93,224.54,230.12,249.71,235.43,253.25,233.24,212,227.63,239.21,226.08,225.77,225.46,238.26,228.25,232.61,238.26,230.74,238.89,248.43,253.25,248.43,,28,965,36,27.83,
19.11.23 18:14:38,13.08,244.92,233.86,230.12,240.47,250.68,254.55,244.6,251.64,241.11,241.42,226.08,233.86,240.16,219.31,229.81,246.51,236.69,231.05,243.01,229.81,245.56,243.33,247.15,258.11,,28,965,36,27.83,
19.11.23 18:14:53,13.33,231.68,242.69,237.95,216.26,233.24,243.96,246.19,253.25,246.19,225.46,227.32,229.5,229.18,243.96,257.79,242.06,234.8,233.55,232.93,225.16,226.39,235.12,250.68,265.63,,28,965,36,27.83,
19.11.23 18:15:08,13.58,220.23,250.04,231.36,243.33,241.11,257.14,257.14,252.93,240.16,226.39,223.61,250.36,239.21,220.84,227.01,248.75,229.5,232.93,241.11,226.39,242.06,242.38,251.32,265.3,,28,965,36,27.86,
19.11.23 18:15:23,13.83,223.61,231.99,233.24,232.3,239.21,248.11,241.74,250.68,243.33,222.38,235.43,237.63,230.43,223,250.36,241.11,222.69,236.06,237,225.46,232.93,242.06,237.95,257.14,,28,965,36,27.86,
19.11.23 18:15:38,14.08,230.43,240.16,227.94,237.95,247.15,246.83,253.58,256.81,244.6,241.11,233.24,238.58,240.47,226.7,246.19,240.47,234.18,236.06,239.21,222.38,235.12,248.43,246.83,263.01,,28,965,36,27.86,
19.11.23 18:15:53,14.33,224.54,236.06,230.74,235.75,243.33,247.47,248.11,254.22,235.75,242.38,231.36,249.07,239.84,231.99,239.21,251.64,233.86,234.49,240.79,232.61,229.5,237.95,252.61,259.09,,28,965,36,27.88,
19.11.23 18:16:08,14.58,227.94,227.94,224.54,234.18,234.8,249.71,240.16,243.65,235.12,254.22,239.53,237.32,246.83,221.46,226.39,247.47,237.32,221.15,233.24,228.56,234.49,237.95,243.01,256.81,,28,965,36,27.89,
19.11.23 18:16:23,14.83,221.15,234.18,232.61,248.75,241.74,250.04,252.29,253.25,241.11,228.87,236.37,234.18,232.3,230.74,219.01,243.96,222.07,240.16,235.43,232.93,239.53,238.58,244.28,259.09,,28,965,36,27.89,
19.11.23 18:16:38,15.08,224.85,238.89,221.15,224.23,240.79,251.64,251,249.07,239.84,228.87,238.26,237.32,238.58,207.48,224.85,245.24,235.43,226.7,223.61,225.77,225.46,243.96,237.95,250.68,,28,965,36,27.9,
19.11.23 18:16:53,15.33,225.46,242.69,231.68,243.65,236.37,248.11,253.58,249.07,233.55,222.07,227.01,228.56,235.75,228.25,227.94,238.58,234.49,233.24,235.12,237.63,240.47,236.37,241.11,261.7,,28,965,36,27.9,
19.11.23 18:17:08,15.58,215.04,252.29,222.38,229.81,239.21,246.51,243.65,250.68,230.74,234.18,241.42,227.32,230.74,212,238.26,239.84,233.24,232.61,231.99,228.87,225.16,227.63,241.11,253.9,,28,965,36,27.91,
19.11.23 18:17:23,15.83,229.18,213.22,222.38,227.63,232.61,235.43,242.38,242.06,220.84,222.38,226.7,230.12,229.81,216.26,216.56,237.63,213.22,226.7,214.43,219.31,227.32,239.53,233.86,249.07,,28,965,36,27.91,
19.11.23 18:17:38,16.08,234.49,230.43,219.92,223.61,239.84,246.83,248.75,250.68,233.86,217.17,235.12,245.56,235.75,222.69,229.81,248.43,217.48,228.87,247.79,227.01,222.38,248.43,247.79,267.94,,28,965,36,27.93,
19.11.23 18:17:53,16.33,247.15,236.69,215.34,223.61,240.16,244.92,248.43,249.39,230.74,223.3,232.3,244.28,232.93,220.54,220.84,247.47,234.18,231.05,235.43,229.5,236.69,237.95,244.6,256.81,,28,965,36,27.93,
19.11.23 18:18:08,16.58,245.88,236.06,235.43,236.06,237.63,256.49,255.52,251,230.74,237.63,235.75,239.53,230.43,222.69,214.43,245.24,222.69,232.61,235.75,228.56,229.18,254.87,245.24,263.99,,28,965,36,27.94,
19.11.23 18:18:23,16.83,222.38,241.11,230.74,230.43,238.58,248.11,243.01,245.88,228.56,208.98,234.49,232.3,226.39,217.48,214.13,241.42,231.68,226.39,233.55,227.94,232.61,243.33,246.83,254.22,,28,965,36,27.96,
19.11.23 18:18:39,17.1,217.78,241.42,236.06,223,244.6,246.51,252.61,252.29,234.49,227.94,244.6,238.89,244.92,227.94,231.68,244.92,231.36,236.06,221.46,231.05,232.3,239.53,243.33,251,,28,965,36,27.96,
19.11.23 18:18:54,17.35,208.38,219.92,221.15,221.46,234.49,237.63,238.89,241.11,230.12,227.01,222.07,232.93,226.08,216.87,223.3,240.16,231.36,223.92,241.42,223.92,226.39,233.86,231.36,252.93,,28,965,36,27.97,
19.11.23 18:19:09,17.6,214.13,231.05,227.94,230.43,238.89,250.04,244.6,243.96,227.01,221.46,233.24,235.12,226.7,231.05,210.79,244.28,220.23,232.61,224.23,227.63,239.53,232.93,238.26,247.79,,28,965,36,27.97,
19.11.23 18:19:24,17.85,223.3,244.6,223.61,221.46,238.58,240.16,239.84,243.96,223.3,226.39,228.25,232.61,228.25,216.87,226.08,235.75,229.5,214.43,231.68,219.31,233.24,238.26,242.38,251.96,,28,965,36,27.97,
19.11.23 18:19:39,18.1,225.16,240.47,219.62,226.39,233.86,234.49,244.6,248.43,235.12,235.75,214.43,235.12,242.69,220.54,223.3,242.69,247.15,225.46,229.18,223.3,237.95,240.79,247.15,260.72,,28,965,36,27.99,
19.11.23 18:19:54,18.35,219.01,241.42,231.99,220.54,246.83,245.56,244.6,252.93,235.12,225.16,237.63,242.69,237.63,224.85,241.74,245.56,243.65,229.5,236.37,234.18,240.79,244.92,247.47,266.62,,28,965,36,28,
19.11.23 18:20:09,18.6,230.43,224.85,234.8,224.85,235.12,243.01,251.96,247.15,228.87,218.39,220.54,221.77,226.08,213.82,214.43,243.01,213.22,231.36,240.47,224.85,231.68,232.93,240.47,258.44,,28,965,36,28,
19.11.23 18:20:24,18.85,220.54,242.38,228.56,238.58,236.37,250.04,249.39,247.79,232.61,238.26,242.38,229.18,229.5,216.56,237.32,241.11,232.93,222.07,241.11,218.39,227.01,245.24,239.84,259.09,,28,965,36,28.01,
19.11.23 18:20:39,19.1,239.21,226.7,233.55,217.17,238.89,249.07,248.11,245.88,237,251.64,243.65,232.3,235.43,221.46,233.55,245.56,234.18,234.49,235.75,235.75,235.43,237.63,239.53,260.06,,28,965,36,28.01,
19.11.23 18:20:54,19.35,220.23,238.89,232.61,232.3,246.19,247.15,257.46,246.83,232.3,243.33,230.74,239.21,226.7,219.62,236.06,245.88,233.86,232.93,237.63,227.32,233.55,240.47,239.21,259.41,,28,965,36,28.03,
19.11.23 18:21:10,19.62,226.7,225.77,240.47,228.56,239.53,252.61,251.64,251.32,241.42,236.06,235.75,244.6,236.37,230.12,227.63,249.07,226.7,234.8,238.58,228.56,224.54,240.79,244.28,259.41,,28,965,36,28.01,
19.11.23 18:21:25,19.87,231.36,248.75,226.39,253.9,243.01,252.29,247.47,254.55,246.83,227.63,246.19,235.12,248.43,218.7,231.05,242.69,227.01,247.15,246.19,234.49,234.18,245.88,241.42,256.49,,28,965,36,28.04,
19.11.23 18:21:40,20.12,223.61,231.36,217.17,217.78,231.05,247.15,251,249.39,237,229.81,225.46,231.05,238.58,222.07,250.36,238.89,222.07,225.16,236.06,220.23,222.07,244.92,246.83,253.25,,28,965,36,28.04,
19.11.23 18:21:55,20.37,224.23,232.93,230.74,219.01,235.43,244.6,245.24,246.19,228.87,229.81,226.08,231.99,224.54,227.94,213.82,233.55,219.31,227.94,235.12,219.01,228.25,234.49,238.26,253.25,,28,965,36,28.04,
19.11.23 18:22:10,20.62,224.23,230.74,226.7,236.37,236.06,237.32,250.68,251.96,234.8,231.05,205.98,228.25,241.74,209.59,244.92,244.28,229.81,235.12,235.12,228.87,227.32,238.89,247.15,258.76,,28,965,36,28.05,
19.11.23 18:22:25,20.87,220.23,214.13,222.38,211.4,231.68,242.06,231.99,248.75,233.86,221.15,216.26,224.54,211.7,227.94,225.16,229.18,230.43,212,227.01,223.61,219.92,219.92,234.49,253.58,,28,965,36,28.05,
19.11.23 18:22:40,21.12,224.54,222.07,218.09,227.63,239.21,242.38,246.83,253.25,236.69,216.56,230.12,232.61,234.18,224.23,223,235.75,226.08,220.54,233.55,223.92,222.38,241.11,249.39,259.09,,28,965,36,28.07,
19.11.23 18:22:55,21.37,221.46,222.07,218.39,224.23,235.43,244.28,243.65,252.29,234.8,241.11,237.63,231.05,230.74,212.61,231.68,239.84,224.54,223.3,227.32,221.15,228.87,237.32,232.93,257.14,,28,965,36,28.07,
19.11.23 18:23:10,21.62,214.43,233.86,217.17,232.61,238.89,244.6,247.79,243.65,228.56,233.24,207.78,230.43,230.74,235.12,232.3,234.18,241.11,222.69,219.92,217.48,231.99,228.56,246.19,252.61,,28,965,36,28.08,
19.11.23 18:23:25,21.87,231.36,228.56,235.12,239.84,249.71,243.65,250.68,257.79,243.01,234.18,243.33,236.06,231.05,218.09,228.25,243.65,238.58,232.61,248.75,229.81,229.18,234.8,242.06,260.72,,28,965,36,28.08,
19.11.23 18:23:40,22.12,230.43,231.68,230.74,215.95,243.96,247.47,241.42,244.92,230.43,240.47,229.81,228.25,220.54,226.39,224.54,239.21,227.94,224.54,243.65,224.54,224.23,224.23,238.89,257.79,,28,965,36,28.1,
19.11.23 18:23:55,22.37,221.15,226.08,218.7,242.38,240.47,247.15,241.11,249.71,234.8,232.3,217.48,238.26,239.21,224.23,222.38,238.58,236.69,219.92,243.65,228.87,230.74,240.79,246.83,260.39,,28,965,36,28.11,
19.11.23 18:24:10,22.62,219.31,249.71,240.79,225.77,249.39,245.56,256.16,264.64,239.53,238.58,243.65,243.96,236.37,247.47,256.81,249.71,231.68,230.43,249.39,225.16,237.95,234.18,246.83,264.32,,28,965,36,28.11,
19.11.23 18:24:25,22.87,214.73,230.43,216.26,228.56,236.69,244.92,246.19,244.92,236.06,244.92,231.05,232.3,222.69,214.13,260.06,238.89,238.89,235.75,231.68,226.08,217.78,231.36,246.19,263.01,,28,965,36,28.11,
19.11.23 18:24:40,23.12,228.56,227.32,227.32,227.01,241.11,247.15,244.28,245.56,234.8,236.06,244.92,243.01,225.16,222.38,243.65,243.33,240.79,229.81,233.55,219.62,216.26,231.05,236.37,260.39,,28,965,36,28.11,
19.11.23 18:24:55,23.37,228.25,230.12,226.39,215.95,238.58,235.43,245.24,236.37,230.43,236.37,216.87,218.7,219.92,215.04,224.23,224.85,233.24,237,229.5,215.34,216.87,236.69,232.93,249.07,,28,965,36,28.13,
19.11.23 18:25:10,23.62,228.25,227.94,226.39,252.61,239.53,246.51,250.04,246.83,234.18,227.94,232.93,231.36,238.26,212.91,234.18,242.06,243.01,224.85,235.43,222.69,232.93,238.26,244.92,260.06,,28,965,36,28.13,
19.11.23 18:25:25,23.87,230.12,253.25,239.21,241.74,243.96,254.55,247.15,256.49,239.53,233.24,233.86,240.47,227.63,213.52,248.75,252.29,227.94,229.18,242.69,224.85,230.43,244.92,248.43,266.95,,28,965,36,28.14,
19.11.23 18:25:40,24.12,225.77,233.86,230.74,235.12,235.43,253.25,241.11,248.75,241.42,229.81,234.18,235.12,229.18,228.87,224.23,243.01,233.86,232.3,241.11,228.56,232.61,236.37,241.11,254.55,,28,965,36,28.14,
19.11.23 18:25:55,24.37,231.05,240.47,238.26,221.77,246.51,251,253.58,253.58,230.74,232.93,248.43,238.26,225.46,226.7,232.61,250.68,226.39,225.46,244.92,228.87,229.5,231.99,245.24,257.46,,28,965,36,28.15,
19.11.23 18:26:10,24.62,232.61,231.36,231.68,227.94,239.21,251.96,246.19,256.81,238.26,221.46,231.68,240.47,233.86,218.39,219.62,249.39,223.3,237.63,242.69,225.16,230.43,233.86,240.47,264.97,,28,965,36,28.15,
